Title,,GMD,,,,Publisher,,,Type of book,Call #,?,Publishing city,Call #,?,?,?,Author,Category,Item
Liburan Aneh,Aneh,Text,,,,Elex Media Kumputindo,2008,,Petualangan Tora & Hana,813,,Jakarta,813,,,,<Nur Ayati>,<Cerita Anak>,<T701458>
Lidah / Tongue,ngue,Text,,,,Zikrul Kids,2009,,Seri Pancaindra,611,,Jakarta,611,,,,<Hasna Nelfia>< Febri Irawan >,<Pengetahuan Anak>,<T703451>
Life Lessons,sons,Text,,,,Gramedia Pustaka Utama,2009,,Chicken Soup for the Soul,823,,Jakarta,823,,,,<Jack Canfield>< Mark Victor Hansen>< Jennifer Read Hawthorne>,<Cerita Dewasa>,<T702669>
Life Science (Ilmu Pengetahuan Alam),lam),Text,,,,Elex Media Komputindo,2009,,Why ?,580,,Jakarta,580,,,,<Tim Penulis >,<Pengetahuan Anak>,<T704222>
Lift The Flaps Book Peek A Boo ! Dinosaurs,aurs,Text,,,,Gramedia Pustaka Utama,2007,,Pop-up Book,567,,Jakarta,567,,,,<Och><Eddie>,<Cerita Anak>,<T701302>
Lihat Kebunku,unku,Text,,,,Gramedia Pustaka Utama,2000,,Seri Pustaka Kecil,823,,Jakarta,823,,,,<Pat Patterson>,<Cerita Anak>,<T702940>
Lihat Kebunku,unku,Text,,,,Gramedia Pustaka Utama,2000,,Seri Pustaka Kecil,823,,Jakarta,823,,,,<Pat Patterson>,<Cerita Anak>,<T702941>
Lihatlah ke Sini!,ini!,Text,,,,Tiga Serangkai,2008,,Mari Belajar Sains,372.3,,Solo,372.3,,,,<Sally Hewitt >,<Pengetahuan Anak>,<T703736>
Lilin Pengharapan,apan,Text,,,,Gunung Mulia,2009,,Buku Rohani,248,,Jakarta,248,,,,<Max Lucado>,<Buku Rohani>,<T702682>
Liliput,iput,Text,,,,Gramedia Pustaka Utama,2006,,Kisah-kisah di Hutan,823,,Jakarta,823,,,,<Tony Wolf>,<Cerita Anak>,<T702166>
Lilo's New Pet (Anjing Lilo yang Baru),aru),Text,,,,Gramedia Pustaka Utama,2002,,Lilo & Stitch,823,,Jakarta,823,,,,<Tim Penulis                    >,<Cerita Anak>,<T702093>
Lima Roti dan Dua Ikan,Ikan,Text,,,,Kanisius,2002,,Cerita Rohani Anak,823,,Yogyakarta,823,,,,<Bente Raben-Korch>,<Cerita Anak>,<T703265>
Limbah dan Daur Ulang,lang,Text,,,,Sygma Publishing,2008,,Examedia,361.1,,Jakarta,361.1,,,,<Jen Green >,<Pengetahuan Anak>,<T703461>
Lin and Lan, Lan,Text,,,,Gramedia Pustaka Utama,,,Edutivity,153.1,,Jakarta,153.1,,,,<Vinca >,<Pengetahuan Anak>,<T702103>
Lingkungan Franklin,klin,Text,,,,Kanisius,ke-08,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T701368>
"Lion King, Roar! Aum!",Aum!,Text,,,,Gramedia Pustaka Utama,,,Seri Pustaka Awal,823,,,823,,,,<Patricia Grossman>,<Cerita Anak>,<T700066>
Listen (Dengarkan!),an!),Text,,,,Quality Press,2004,,Langkah-langkah Pertama,823,,Jakarta,823,,,,<Judy  Hamilton>,<Pengetahuan Anak>,<T701606>
Listrik,trik,Text,,,,Quality Press,,,Ternyata Bisa,537,,,537,,,,<Alexander Parsons>,<Pengetahuan Anak>,<T700265>
Listrik,trik,Text,,,,Taman Gahara,1995,,Bengkel Kreativitas,537,,Jakarta,537,,,,<Pam Robson>,<Aktivitas - Umum>,<T704076>
Listrik - c2,#VALUE!,Text,,,,Quality Press,1997,,Ternyata Bisa,537,,Jakarta,537,,,,<Wendy Baker><Andrew Haslam>,<Pengetahuan Anak>,<T704074>
Listrik dan Kemagnetan,etan,Text,,,,Tiga Serangkai,2008,,Dunia Sains (Fisika),537,,Solo,537,,,,<Gerard Cheshire>,<Pengetahuan Anak>,<T701533>
Listrik Dan Magnet,gnet,Text,,,,Erlangga,2004,,Jagoan Sains,621.3,,Jakarta,621.3,,,,<Sarah Angliss>,<Pengetahuan Anak>,<T700758>
Listrik dan Magnet,gnet,Text,,,,Erlangga for Kids,2004,,Jagoan Sains,537,,Jakarta,537,,,,<Sarah Angliss>,<Pengetahuan Anak>,<T704114>
Listrik Dan Magnet - c2,#VALUE!,Text,,,,Erlangga,2004,,Jagoan Sains,621.3,,Jakarta,621.3,,,,<Sarah Angliss>,<Pengetahuan Anak>,<T700759>
Listrik Dan Magnet - c3,#VALUE!,Text,,,,Erlangga,2004,,Jagoan Sains,621.3,,Jakarta,621.3,,,,<Sarah Angliss>,<Pengetahuan Anak>,<T700760>
Listrik Dan Magnet - c4,#VALUE!,Text,,,,Erlangga,2004,,Jagoan Sains,621.3,,Jakarta,621.3,,,,<Sarah Angliss>,<Pengetahuan Anak>,<T700761>
Little Lhon Dhok,Dhok,Text,,,,Zikrul Kids,2008,,Four Funny Animal Stories,813,,Jakarta,813,,,,<Maharani>< Johnny Rinaldi >,<Cerita Anak>,<T703634>
Little Lily at Alienland,land,Text,,,,Gramedia Pustaka Utama,2006,,Little Lily's Big Adventure,823,,Jakarta,823,,,,<Arleen>,<Cerita Anak>,<T701897>
Little Lily at Bikeland,land,Text,,,,Gramedia Pustaka Utama,2006,,Little Lily's Big Adventure,823,,Jakarta,823,,,,<Arleen>,<Cerita Anak>,<T701891>
Little Lily at Bookland,land,Text,,,,Gramedia Pustaka Utama,2006,,Little Lily's Big Adventure,823,,Jakarta,823,,,,<Arleen>,<Cerita Anak>,<T701890>
Little Lily at Candyland,land,Text,,,,Gramedia Pustaka Utama,2006,,Little Lily's Big Adventure,823,,Jakarta,823,,,,<Arleen>,<Cerita Anak>,<T701895>
Little Lily at Clockland,land,Text,,,,Gramedia Pustaka Utama,2006,,Little Lily's Big Adventure,823,,Jakarta,823,,,,<Arleen>,<Cerita Anak>,<T701896>
Little Lily at Fairyland,land,Text,,,,Gramedia Pustaka Utama,2006,,Little Lily's Big Adventure,823,,Jakarta,823,,,,<Arleen>,<Cerita Anak>,<T701894>
Little Lily at Flowerland,land,Text,,,,Gramedia Pustaka Utama,2006,,Little Lily's Big Adventure,823,,Jakarta,823,,,,<Arleen>,<Cerita Anak>,<T701889>
Little Lily at Mermaidland,land,Text,,,,Gramedia Pustaka Utama,2006,,Little Lily's Big Adventure,823,,Jakarta,823,,,,<Arleen>,<Cerita Anak>,<T701892>
Little Lily at Toyland,land,Text,,,,Gramedia Pustaka Utama,2006,,Little Lily's Big Adventure,823,,Jakarta,823,,,,<Arleen>,<Cerita Anak>,<T701893>
Little Red Riding Hood,Hood,Text,,,,Pelangi Sdn. Bhd.,,,Pelangi's Litle Book Series,823,,Malaysia,823,,,,<Nuora Edibimbi>,<Cerita Anak>,<T701948>
Little Star (Bintang Kecil),cil),Text,,,,Citra Sastra Media,2008,,Dora the Explorer,823,,Jakarta,823,,,,<Sarah Willson>,<Cerita Anak>,<T703084>
Lobak Raksasa,sasa,Text,,,,Quality Press,,,Seri Tarantula,823,,,823,,,,<Judy Hamilton>,<Cerita Anak>,<T700320>
Lokomotif yang Rajin,ajin,Text,,,,Erlanggan Four Kids,2012,,Cerita Anak,,,Jakarta,,,,,<Winny Rahmayanti >,<Cerita Anak>,<T704967>
Lolongan di Malam Hari,Hari,Text,,,,Tiga Serangkai,2004,,Scooby-Doo,823,,Solo,823,,,,<Gail Herman >,<Cerita Anak>,<T703208>
Lomba Melambung,bung,Text,,,,Elex Media Komputindo,1999,,Seri Bacaan Anak Walt Disney,823,,Jakarta,823,,,,<Betty Birney>,<Cerita Anak>,<T701791>
Lombok ( Exotic Island ),nd ),Text,,,,Elex Media Komputindo,2007,,Seri Wisata Nusantara,915.98,,Jakarta,915.98,,,,<Aylawati Sarwono>,<Pengetahuan Anak>,<T700775>
Lombok ( Exotic Island ) - c2,#VALUE!,Text,,,,Elex Media Komputindo,2007,,Seri Wisata Nusantara,915.98,,Jakarta,915.98,,,,<Aylawati Sarwono>,<Pengetahuan Anak>,<T700776>
Look ! (Lihat !),t !),Text,,,,Quality Press,2004,,Langkah-langkah Pertama,360,,Jakarta,360,,,,<Judy Hamilton>,<Pengetahuan Anak>,<T701618>
Lord Baden Powell,well,Text,,,,Elex Media Komputindo,2007,,Seri Tokoh Dunia,923,,Jakarta,923,,,,<Animik World>,<Pengetahuan Anak>,<T700382>
Lord Baden Powell,well,Text,,,,Elex Media Komputindo,2007,,Seri Tokoh Dunia,923,,Jakarta,923,,,,<Animik World>,<Pengetahuan Anak>,<T702824>
Loreng Sakit Gigi,Gigi,Text,,,,Gramedia Pustaka Utama,,,Seri Pustaka Kecil,823,,,823,,,,<Jan Wahl>,<Cerita Anak>,<T700060>
Loreng Sakit Gigi,Gigi,Text,,,,Gramedia Pustaka Utama,2000,,Seri Pustaka Kecil,823,,Jakarta,823,,,,<Jan Wahl>,<Cerita Anak>,<T704093>
Loreng Sakit Gigi - c2,#VALUE!,Text,,,,Gramedia Pustaka Utama,1992,,Seri Pustaka Kecil,823,,Jakarta,823,,,,<Jan Wahl>,<Cerita Anak>,<T701972>
Lost Dog! (Anjing Hilang!),ng!),Text,,,,Erlangga,2004,,The Adventure of Lola and Woufi,823,,Jakarta,823,,,,<Edith Soonckindt>,<Cerita Anak>,<T701909>
Lost in Space,pace,Text,,,,Pustaka Lebah,2006,,Choose Your Adventure,823,,Jakarta,823,,,,<Tim Penulis>,<Cerita Anak>,<T702948>
Lotte Rangkap Dua, Dua,Text,,,,Gramedia Pustaka Utama,1991,,Novel,823,,Jakarta,823,,,,<Erich Kastner >,<Novel / Fiksi>,<T703184>
Lotus Biru,Biru,Text,,,,Gramedia Pustaka Utama,2008,,Petualangan Tintin,823,,Jakarta,823,,,,<Herge>,<Komik Bergambar>,<T700613>
Louis Braille,ille,Text,,,,Elex Media Komputindo,2002,,Seri Tokoh Ternama,924,,Jakarta,924,,,,<Tessa Potter>,<Pengetahuan Anak>,<T702224>
Louis Pasteur,teur,Text,,,,Elex Media Komputindo,2008,,Seri Tokoh Dunia,925,,Jakarta,925,,,,<Animik World>,<Pengetahuan Anak>,<T702825>
Louis Pasteur & Kuman,uman,Text,,,,Quality Press,,,Seri Penemuan Ilmiah,925,,,925,,,,<Steven Parker>,<Pengetahuan Anak>,<T700163>
Louis Pasteus,teus,Text,,,,Elex Media Komputindo,,,Seri Tokoh Dunia,925,,,925,,,,<Team Elex>,<Pengetahuan Anak>,<T700369>
Luar Angkasa,kasa,Text,,,,Sygma Publishing,2009,,My 1st Questions & Answers,521,,Bandung,521,,,,<Tim XACT>,<Pengetahuan Anak>,<T703108>
Luas,Luas,Text,,,,Sygma Publishing,2008,,Seri Menjelajah Pengukuran,372.7,,Bandung,372.7,,,,<Bev Dunbar >,<Pengetahuan Anak>,<T704405>
Lucky Luke Vs Joss Jamon,amon,Text,,,,Elex Media Komputindo,2010,,Lucky Luke,741.3,,Jakarta,741.3,,,,<R Goscinny>,<Komik Bergambar>,<T704131>
Ludwig Van Beethoven,oven,Text,,,,Elex Media Komputindo,2006,,Seri Tokoh Dunia,927,,Jakarta,927,,,,<Klara Siauw>,<Pengetahuan Anak>,<T700392>
Ludwig Van Beethoven,oven,Text,,,,Elex Media Komputindo,2009,,Seri Tokoh Dunia,927,,Jakarta,927,,,,<Chen Jing Lien>,<Pengetahuan Anak>,<T702830>
Ludwig Van Beethoven,oven,Text,,,,Elex Media Komputindo,2000,,Seri Tokoh Dunia,927,,Jakarta,927,,,,<Chen Jing Lien >,<Pengetahuan Anak>,<T704628>
Ludwig Van Beethoven - c2,#VALUE!,Text,,,,Elex Media Komputindo,2008,,Seri Tokoh Dunia,927,,Jakarta,927,,,,<Chen Jing Lien>,<Pengetahuan Anak>,<T700679>
Ludwig Van Beethoven - c3,#VALUE!,Text,,,,Elex Media Komputindo,2008,,Seri Tokoh Dunia,927,,Jakarta,927,,,,<Chen Jing Lien>,<Pengetahuan Anak>,<T700680>
Lumba-lumba,umba,Text,,,,Elex Media Komputindo,2004,,Mengenal Satwa,599,,Jakarta,599,,,,<Patricia Kendell>,<Pengetahuan Anak>,<T700445>
Lumba-lumba - c2,#VALUE!,Text,,,,Elex Media Komputindo,2002,,Mengenal Satwa,599,,Jakarta,599,,,,<Patricia Kendell>,<Pengetahuan Anak>,<T702064>
Lumba-lumba dan Paus,Paus,Text,,,,Elex Media Komputindo,2008,,Buku Terbaikku Tentang‰Û_,599,,Jakarta,599,,,,<Christiane Gunzi>,<Pengetahuan Anak>,<T702793>
Lumba-lumba Pentas Satwa (Animal Show Dolphin),hin),Text,,,,Bestari Kids,2009,,Seri Binatang Bawah Laut,741.3,,Jakarta,741.3,,,,<Koko Nata>< Kiki Moch Rizki>,<Cerita Anak>,<T703071>
Lumba-lumba Pentas Satwa (Animal Show Dolphin),hin),Text,,,,Bestari Kids,2009,,Seri Binatang Bawah Laut,398.5,,Jakarta,398.5,,,,<Koko Nata>< Kiki Moch Rizki >,<Pengetahuan Anak>,<T703417>
Lumba-lumba yang Pemaaf,maaf,Text,,,,Cita Putra Bangsa,2009,,Seri Fabel Akhlak,813,,Jakarta,813,,,,<Taufik Hidayat>,<Cerita Anak>,<T702125>
Lumba-lumba yang Pemaaf - c2,#VALUE!,Text,,,,Cuta Putra Bangsa,2009,,Seri Fabel Akhlak,813,,Jakarta,813,,,,<Taufik Hidayat>,<Cerita Anak>,<T702126>
Lumbung Gandum Tikus Mungil,ngil,Text,,,,Elex Media Komputindo,2009,,Seri Cerita Mandarin,895.1,,Jakarta,895.1,,,,<Venny Effendy>,<Cerita Anak>,<T702548>
Lumbung Gandum Tikus Mungil,ngil,Text,,,,Elex Media Komputindo,2009,,Seri Cerita Mandarin,895.1,,Jakarta,895.1,,,,<Venny Effendy >,<Cerita Anak>,<T703652>
Lumiere Bersaudara & Perfilman,lman,Text,,,,Quality Press,,,Seri Penemuan Ilmiah,925,,,925,,,,<Steven Parker>,<Pengetahuan Anak>,<T700165>
Lumpia & Pangsit,gsit,Text,,,,Gramedia Pustaka Utama,2007,,Easy Cooking,641.6,,Jakarta,641.6,,,,<Mary Winata >,<Masak-kue>,<T703955>
Lutung Kasarung,rung,Text,,,,Elex Media Merchandising,1999,,Cerita Asli Indonesia,398,,Jakarta,398,,,,<Tim Penulis             >,<Cerita Anak>,<T702006>
Lutung Kasarung,rung,Text,,,,Gramedia Pustaka Utama,1995,,Dongeng Klasik Indonesia,398,,Jakarta,398,,,,<Baby>,<Cerita Anak>,<T702015>
Madicken dan Lisabet,abet,Text,,,,Gramedia Pustaka Utama,2003,,Novel,823,,Jakarta,823,,,,<Astrid Lindgren >,<Novel / Fiksi>,<T703179>
Magellan dan Amerika Selatan,atan,Text,,,,Elex Media Komputindo,2002,,Penjelajah Dunia,923,,Jakarta,923,,,,<Colin Hynson >,<Pengetahuan Anak>,<T704071>
Magic balloon,loon,Text,,,,Tiara Aksa,2008,,Kreatifitas,153.5,,Surabaya,153.5,,,,<Papa Andre>,<Aktivitas - Umum>,<T701502>
Magic Of The Rainbow,nbow,Text,,,,Gramedia Pustaka Utama,2008,,Barbie Fairytopia,813,,Jakarta,813,,,,<Mary Man-Kong>,<Cerita Anak>,<T701010>
Magic Of The Rainbow - c2,#VALUE!,Text,,,,Gramedia Pustaka Utama,2008,,Barbie Fairytopia,813,,Jakarta,813,,,,<Mary Man-Kong>,<Cerita Anak>,<T701011>
Magic Of The Rainbow - c3,#VALUE!,Text,,,,Gramedia Pustaka Utama,2008,,Barbie Fairytopia,813,,Jakarta,813,,,,<Mary Man-Kong>,<Cerita Anak>,<T701012>
Magic Of The Rainbow - c4,#VALUE!,Text,,,,Gramedia Pustaka Utama,2008,,Barbie Fairytopia,813,,Jakarta,813,,,,<Mary Man-Kong>,<Cerita Anak>,<T701013>
Magic Of The Rainbow - c5,#VALUE!,Text,,,,Gramedia Pustaka Utama,2008,,Barbie Fairytopia,813,,Jakarta,813,,,,<Mary Man-Kong>,<Cerita Anak>,<T701014>
Magnetisme,isme,Text,,,,Taman Gahara,1995,,Bengkel Kreativitas,538,,Jakarta,538,,,,<Pam Robson>,<Aktivitas - Umum>,<T704077>
Mahatma Gandhi,ndhi,Text,,,,Elex Media Komputindo,2007,,Seri Tokoh Dunia,922,,Jakarta,922,,,,<Klara Siauw>,<Pengetahuan Anak>,<T700379>
Mahatma Gandhi,ndhi,Text,,,,Elex Media Komputindo,2008,,Seri Tokoh Dunia,922,,Jakarta,922,,,,<Kwok Yuen Ming>,<Pengetahuan Anak>,<T702840>
Maka Jadilah,ilah,Text,,,,Yayasan Komunikasi Bina Kasih,1997,,Alkitab Bergambar untuk Semua Umur,222,,Jakarta,222,,,,<H A Oppusunggu>,<Buku Rohani>,<T703894>
Makan Enak Cara Manado,nado,Text,,,,Gaya Favorit Press,2007,,Seri Masak Femina Primarasa,641.509,,Jakarta,641.509,,,,<Tim Penulis >,<Masak-makanan>,<T703510>
Makan Siang Istimewa,mewa,Text,,,,Tiga Serangkai,2006,,Rio Bisa Sendiri,813,,Solo,813,,,,<Nur Ayati>,<Cerita Anak>,<T701995>
Makanan,anan,Text,,,,Bhuana Ilmu Populer,2008,,Ensiklopedia Junior,803,,Jakarta,803,,,,<Emilie Beaumont>,<Pengetahuan Dewasa>,<T702108>
Makanan (Food),ood),Text,,,,Indeks,2011,,Kesehatan Fisik,614,,Jakarta,614,,,,<Joy Cowley >,<Cerita Anak>,<T704637>
Makanan (Food),ood),Text,,,,PT. Indeks Puri Kemabangan,2011,,Kesehatan Fisik,613,,Jakarta,613,,,,<Joy Cowley>,<Pengetahuan Anak>,<T704735>
Makanan Binatang,tang,Text,,,,Quality Press,,,Tanya & Jawab Mengenai,590,,,590,,,,<Alexander Sindoro>,<Pengetahuan Anak>,<T700097>
Makanan Favorit Balita,lita,Text,,,,Puspa Swara,2010,,Dari Ibu untuk Si Buah Hati,641.5,,Depok,641.5,,,,<Rika Rachmawati><Salimar >,<Masak-makanan>,<T703506>
Makanan Hingga Pencernaan,naan,Text,,,,Mandira Jaya Abadi,2001,,Penuntun Ilmu Pengetahuan,612,,Semarang,612,,,,<William Hemsley >,<Pengetahuan Anak>,<T703759>
Makanan Kecil Terlezat,ezat,Text,,,,Gaya Favorit Press,2007,,Seri Masak Femina Primarasa,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-kue>,<T704303>
Makanan Padat Gizi dalam Satu Olahan,ahan,Text,,,,Dian Digtal Media,,,Seri Memasak untuk Pemula,641.5,,Jakarta,641.5,,,,<Tim Penulis>,<Masak-makanan>,<T701583>
Makanan Pencegah Kanker,nker,Text,,,,Gramedia Pustaka Utama,2008,,The Power of Food,641.5,,Jakarta,641.5,,,,<Clare Shaw >,<Masak-makanan>,<T703811>
"Makanan,Kesehatan,Olahraga",raga,Text,,,,Bhuana Ilmu Populer,2006,,3 Menit Belajar Pengetahuan Umum,1,,Jakarta,1,,,,<Kim Seok- cheon>,<Pengetahuan Anak>,<T700569>
"Makanan,Kesehatan,Olahraga - c2",#VALUE!,Text,,,,Bhuana Ilmu Populer,2006,,3 Menit Belajar Pengetahuan Umum,1,,Jakarta,1,,,,<Kim  Seok- cheon>,<Pengetahuan Anak>,<T700779>
"Makanan,Kesehatan,Olahraga - c3",#VALUE!,Text,,,,Bhuana Ilmu Populer,2007,,3 Menit Belajar Pengetahuan Umum,1,,Jakarta,1,,,,<Kim  Seok- cheon>,<Pengetahuan Anak>,<T700780>
Makhluk Hidup,idup,Text,,,,Bhuana Ilmu Populer,2010,,Zum!,574.5,,Jakarta,574.5,,,,<Nicholas Harris >,<Pengetahuan Anak>,<T703833>
Makhluk Laut,Laut,Text,,,,Tira Pustaka,1996,,Lihatlah dari Dekat,599,,Jakarta,599,,,,<Judy Nayer >,<Pengetahuan Anak>,<T704607>
Makhluk Laut - c2,#VALUE!,Text,,,,Tira Pustaka,1996,,Lihatlah dari Dekat,599,,Jakarta,599,,,,<Judy Nayer >,<Pengetahuan Anak>,<T704608>
Makhluk yang Mematikan,ikan,Text,,,,Examedia,2008,,100 Fakta Tentang,590,,Bandung,590,,,,<Camilla de la Bedoyere >,<Pengetahuan Anak>,<T704364>
Malaikat Pelindung,dung,Text,,,,Gramedia Pustaka Utama,2007,,Chicken Soup,823,,Jakarta,823,,,,<Jack Canfield>,<Cerita Dewasa>,<T701119>
Malaikat Pelindung - c2,#VALUE!,Text,,,,Gramedia Pustaka Utama,2007,,Chicken Soup,82,,Jakarta,82,,,,<Jack Canfield>,<Cerita Dewasa>,<T701120>
"Malam Gelap Gulita ( The Dark, Dark Night )",ht ),Text,,,,Erlanggan Four Kids,2008,,Read a Story,,,Jakarta,,,,,<M. Christina Butler >,<Cerita Anak>,<T704985>
Malam Menjelang Natal,atal,Text,,,,Allice Saputra Communications,,,The Christmas Teddy Bear,823,,,823,,,,<Stephanie Ryder>,<Cerita Anak>,<T700147>
Malam Menjelang Natal,atal,Text,,,,Quality Press,,,Seri Tarantula,823,,,823,,,,<Judy Hamilton>,<Cerita Anak>,<T700329>
Malam Menjelang Natal,atal,Text,,,,Quality Press,2002,,Seri Tarantula,823,,Jakarta,823,,,,<Judy Hamilton>,<Cerita Anak>,<T701624>
Malam yang Menabjubkan,bkan,Text,,,,Gramedia Pustaka Utama,2007,,Disney Princess,823,,Jakarta,823,,,,<Grace Windsor>,<Cerita Anak>,<T702799>
Malam Yang Menakjubkan,bkan,Text,,,,Gramedia Pustaka Utama,2007,,Disney Princess,823,,Jakarta,823,,,,<Grace Windsor>,<Cerita Anak>,<T700067>
Malam yang Menakjubkan,bkan,Text,,,,Gramedia,2004,,Disney Princess,823,,Jakarta,823,,,,<Grace Windsor>,<Cerita Anak>,<T702924>
Malam yang Mencekam,ekam,Text,,,,Elex Media Komputindo,1997,,Seri Bacaan anak Walt Disney,823,,Jakarta,823,,,,<Bruce Talkington>,<Cerita Anak>,<T701793>
Malam yang Sangat Berisik ( The Very Noisy Night ),ht ),Text,,,,Erlanggan Four Kids,2008,,Read a Story,,,Jakarta,,,,,<Diana Hendry >,<Cerita Anak>,<T704990>
Malam yang Sangat Dingin ( One Winter's Night ),ht ),Text,,,,Erlanggan Four Kids,2011,,Tentang Sahabat,,,Jakarta,,,,,<Craire Feedman >,<Cerita Anak>,<T704998>
Malam yang Sangat Dingin ( One Winter's Night ),ht ),Text,,,,Erlanggan Four Kids,2011,,Tentang Sahabat,,,Jakarta,,,,,<Craire Feedman >,<Cerita Anak>,<T705001>
Malaria Si Musuh dalam Selimut,imut,Text,,,,Elex Media Kumputindo,2008,,Seri Aku Mau Sehat,616.9,,Jakarta,616.9,,,,<StudioKomikita DKV-ITB>,<Cerita Anak>,<T701439>
Malin Kundang,dang,Text,,,,Elex Media Merchandising,2000,,Cerita Asli Indonesia,398,,Jakarta,398,,,,<Tim Penulis            >,<Cerita Anak>,<T701999>
Malin Kundang,dang,Text,,,,Citra Budaya,1989,,Seri Cerita Rakyat,398,,Bandung,398,,,,<Henni Hamdanputera>,<Cerita Anak>,<T702028>
Mama Kety Seorang Putri Duyung,yung,Text,,,,Tiga Serangkai,2008,,Karya Sastraku,823,,Solo,823,,,,<Hannah Ray >,<Cerita Anak>,<T703667>
Mamalia,alia,Text,,,,Quality Press,1998,,Lift Off,599,,Jakarta,599,,,,<Joy Richardson>,<Pengetahuan Anak>,<T700225>
Mamalia,alia,Text,,,,Tira Pustaka,1986,,Pustaka Alam - Life,599,,Jakarta,599,,,,<Richard Carrington>,<Pengetahuan Dewasa>,<T701767>
Mamalia,alia,Text,,,,Elex Media Komputindo,2009,,Petak Umpet,599,,Jakarta,599,,,,<Faza>,<Cerita Anak>,<T702142>
Mamalia,alia,Text,,,,Examedia,2008,,Ensiklopedia Eksperimen Sains,30,,Bandung,30,,,,<John Farndon >,<Pengetahuan Dewasa>,<T703689>
Mamalia 1,ia 1,Text,,,,Tiga Serangkai,2007,,Atlas Binatang,591,,Solo,591,,,,<Tim Penulis >,<Pengetahuan Dewasa>,<T703751>
Mamalia 2,ia 2,Text,,,,Tiga Serangkai,2007,,Atlas Binatang,591,,Solo,591,,,,<Tim Penulis >,<Pengetahuan Dewasa>,<T703752>
Mamalia Laut,Laut,Text,,,,Quality Press,,,Pointers,599,,,599,,,,<Anita Ganeri>,<Pengetahuan Anak>,<T700176>
Mamalia Menguasai Bumi,Bumi,Text,,,,Elex Media Komputindo,2002,,Perkembangan Bumi,599,,Jakarta,599,,,,<Tim Penulis >,<Pengetahuan Anak>,<T704065>
Mamalia Menguasai Bumi - c2,#VALUE!,Text,,,,Elex Media Komputindo,2002,,Perkembangan Bumi,599,,Jakarta,599,,,,<Tim Penulis >,<Pengetahuan Anak>,<T704066>
Mandiku Asyik,syik,Text,,,,Tiga Serangkai,2006,,Rio Bisa Sendiri,813,,Solo,813,,,,<Nur Ayati>,<Cerita Anak>,<T701996>
Manis & Gurih,urih,Text,,,,Gramedia Pustaka Utama,2010,,Aneka Martabak,641.8,,Jakarta,641.8,,,,<Nursaadah  >,<Masak-kue>,<T703805>
Manis & Gurih,urih,Text,,,,Gramedia Pustaka Utama,2010,,Aneka Martabak,641.8,,Jakarta,641.8,,,,<Nursaadah >,<Masak-kue>,<T704321>
Manisan Buah,Buah,Text,,,,Gramedia Pustaka Utama,2007,,Seri Usaha Boga,641.6,,Jakarta,641.6,,,,<Magdalena Soenarti >,<Masak-kue>,<T703962>
Manisan Buah & Sayur,ayur,Text,,,,Penerbitan Sarana Bobo,2007,,Peluang Usaha,641.8,,Jakarta,641.8,,,,<Nunung Nurjanah>,<Masak-kue>,<T700494>
Mantel Jerami Jin Hidung Panjang,jang,Text,,,,Elex Media Komputindo,1997,,Buku Dongeng Anak-Anak Bergambar,895.6,,Jakarta,895.6,,,,<Shogo Hirata>,<Cerita Anak>,<T701857>
Mantera Ajaib,jaib,Text,,,,Gramedia Pustaka Utama,-,,Seri Menjelajah Bersama Pooh,813,,Jakarta,813,,,,<Heni N>,<Cerita Anak>,<T700429>
Manusia Kue Jahe,Jahe,Text,,,,Quality Press,,,Seri Tarantula,823,,,823,,,,<Judy Hamilton>,<Cerita Anak>,<T700305>
Manusia Purba,urba,Text,,,,Tira Pustaka,1984,,Pustaka Alam - Life,573.3,,Jakarta,573.3,,,,<F. Clark Howell>,<Pengetahuan Dewasa>,<T701753>
Marcel Dalton,lton,Text,,,,Elex Media Komputindo,2010,,Lucky Luke,741.3,,Jakarta,741.3,,,,<De Groot >,<Komik Bergambar>,<T704135>
Mari Memasak,asak,Text,,,,Taman Garaha,1994,,Gembira Berkreasi,641.5,,Jakarta,641.5,,,,<Denny Robson><Vanesa Bailey>,<Masak-makanan>,<T702087>
Marie Curie,urie,Text,,,,Elex Media Komputindo,,,Seri Tokoh Dunia,926,,,926,,,,<Team Elex>,<Pengetahuan Anak>,<T700366>
Marie Curie,urie,Text,,,,Elex Media Komputindo,2008,,Seri Tokoh Dunia,926,,Jakarta,926,,,,<Wan Ie So>,<Pengetahuan Anak>,<T702831>
Marie Curie - c2,#VALUE!,Text,,,,Elex Media Komputindo,2008,,Seri Tokoh Dunia,926,,Jakarta,926,,,,<Wan Ie So>,<Pengetahuan Anak>,<T700683>
Marie Curie - c3,#VALUE!,Text,,,,Elex Media Komputindo,2008,,Seri Tokoh Dunia,926,,Jakarta,926,,,,<Wan Ie So>,<Pengetahuan Anak>,<T700684>
Marie Curie - c4,#VALUE!,Text,,,,Elex Media Komputindo,2002,,Seri Tokoh Dunia,926,,Jakarta,926,,,,<Wan Ie So>,<Pengetahuan Anak>,<T702222>
Marie Curie & Radium,dium,Text,,,,Quality Press,,,Seri Penemuan Ilmiah,925,,,925,,,,<Steven Parker>,<Pengetahuan Anak>,<T700171>
